PIP CODE,CAV CODE,PRODUCT DESCRIPTION,PACK SIZE,CATEGORY
8443210,ACAM33,Acamprosate FC Tab 333mg,168,GENERIC
8437410,ACAR10,Acarbose Tabs 100mg                                     ,90,GENERIC
8437428,ACAR50,Acarbose Tabs 50mg                                       ,90,GENERIC
8415457,ACE60,Aceclofenac tabs 100mg,60,GENERIC
8435331,ACE250,Acetazolamide Tabs 250mg,112,GENERIC
7087943,ACICRM,Aciclovir Cream 5% 10g,1,GENERIC
6835144,ACICM2,Aciclovir Cream 5% 2g,1,GENERIC
7049158,ACI200,Aciclovir Disp Tabs 200mg,25,GENERIC
7049141,ACI400,Aciclovir Disp Tabs 400mg,56,GENERIC
7049166,ACI800,Aciclovir Disp Tabs 800mg,35,GENERIC
1148485,ACI225,Aciclovir Tabs 200mg                               ,25,GENERIC
1148519,ACI456,Aciclovir Tabs 400mg                               ,56,GENERIC
1148527,ACI835,Aciclovir Tabs 800mg                               ,35,GENERIC
8005365,AGO25,Agomelatine Tab 25mg,28,GENERIC
8386864,ALEND3,Alendro70mg/Cholecal2800iu Tab,4,GENERIC
1151778,ALE10,Alendronic Acid Tabs 10mg,28,GENERIC
1151505,ALE70,Alendronic Acid Tabs 70mg,4,GENERIC
7149503,ALF30,Alfacacidol Caps 0.25mcg                         ,30,GENERIC
8443244,ALF25U,Alfacacidol Caps 0.25mcg  NOPL                        ,30,GENERIC
8443236,ALF50U,Alfacacidol Caps 0.5mcg  NOPL                        ,30,GENERIC
8443228,ALF1U,Alfacacidol Caps 1mcg  NOPL                        ,30,GENERIC
7028160,ALF05,Alfacalcidol Caps 0.5mcg                        ,30,GENERIC
7013469,ALF1,Alfacalcidol Caps 1mcg                           ,30,GENERIC
8387169,ALFU10,Alfuzosin Tabs 10mg XL,30,GENERIC
8455529,ALFU25,Alfuzosin Tabs 2.5mg                                 ,60,GENERIC
8438624,ALIM30,Alimemazine Syrup 30mg/5ml,100ml,GENERIC
8438632,ALIM75,Alimemazine Syrup 7.5mg/5ml,100ml,GENERIC
8455859,ALIM10,Alimemazine Tabs 10mg,28,GENERIC
1108620,ALL128,Allopurinol Tabs 100mg,28,GENERIC
8097370,ALL12A,Allopurinol Tabs 100mg,28,GENERIC
8082414,ALL32A,Allopurinol Tabs 300mg,28,GENERIC
1108638,ALL328,Allopurinol Tabs 300mg,28,GENERIC
6834626,ALMO12,Almotriptan Tabs 12.5mg,6,GENERIC
8101065,ALV120,Alverine Caps 120mg                                     ,60,GENERIC
8101099,ALV60,Alverine Caps 60mg                                       ,100,GENERIC
6832695,AMAN10,Amantadine HCL cap 100mg ,56,GENERIC
1115245,AMI528,Amiloride Tabs 5mg,28,GENERIC
8001042,AMI100,Amiodarone Tabs 100mg,28,GENERIC
8001034,AMI200,Amiodarone Tabs 200mg,28,GENERIC
1156298,AMIS10,Amisulpride Tabs 100mg,60,GENERIC
1156306,AMIS20,Amisulpride Tabs 200mg,60,GENERIC
1156314,AMIS40,Amisulpride Tabs 400mg,60,GENERIC
1156280,AMIS50,Amisulpride Tabs 50mg,60,GENERIC
6833743,AMIT18S,Amitriptyline Tabs 10mg,28,GENERIC
1110170,AMIT18,Amitriptyline Tabs 10mg,28,GENERIC
1110162,AMIT28,Amitriptyline Tabs 25mg,28,GENERIC
8413650,AMIT58S,Amitriptyline Tabs 50mg,28,GENERIC
1110154,AMIT58,Amitriptyline Tabs 50mg,28,GENERIC
8142705,AMLB18,Amlodipine Besilate Tabs 10mg,28,GENERIC
1117969,AMLB10,Amlodipine Besilate Tabs 10mg,28,GENERIC
1117977,AMLB5,Amlodipine Besilate Tabs 5mg,28,GENERIC
8105348,AMLB58,Amlodipine Besilate Tabs 5mg,28,GENERIC
8106890,AML128,Amlodipine Maleate Tab 10mg,28,GENERIC
8106908,AML528,Amlodipine Maleate Tab 5mg,28,GENERIC
6335517,AM5LAC,Amorolfine Medicated Nail Lacquer 5%                  ,5ml,GENERIC
1108646,AMO221,Amoxicillin Caps 250mg,21,GENERIC
1196237,AMO215,Amoxicillin Caps 250mg                               ,15,GENERIC
1108661,AMO521,Amoxicillin Caps 500mg,21,GENERIC
1108679,AMO500,Amoxicillin Caps 500mg,100,GENERIC
1196245,AMO515,Amoxicillin Caps 500mg                                ,15,GENERIC
7015969,ASSF2,Amoxicillin Sachets 3g SF,2,GENERIC
6331292,AS125,Amoxicillin Syrup 125mg/5ml ,100ml,GENERIC
1117688,ASF125,Amoxicillin Syrup 125mg/5ml SF,100ml,GENERIC
6331284,AS250,Amoxicillin Syrup 250mg/5ml ,100ml,GENERIC
1117670,ASF250,Amoxicillin Syrup 250mg/5ml SF,100ml,GENERIC
1202720,ANAST1,Anastrozole Tabs 1mg                                             ,28,GENERIC
1109917,AQU500,Aqueous Cream 500G BP ,1,GENERIC
8118127,ARISOL,Aripiprazole Oral Soln 1mg/ml,150ml,GENERIC
6833412,ARIP10,Aripiprazole Tabs 10mg,28,GENERIC
6833420,ARIP15,Aripiprazole Tabs 15mg,28,GENERIC
6833396,ARIP30,Aripiprazole Tabs 30mg,28,GENERIC
6833404,ARIP5,Aripiprazole Tabs 5mg,28,GENERIC
7164569,ASC128,Ascorbic Acid Tabs 100mg,28,GENERIC
7164577,ASC228,Ascorbic Acid Tabs 200mg,28,GENERIC
1117407,ASC528,Ascorbic Acid Tabs 500mg,28,GENERIC
